I_TRIP_ID,S_LORRY_RECPT_NO,S_VEHICLE_ID,S_PRODUCT_ID,DT_DEP_DATETIME,DT_BOOK_DATETIME,S_CONSIGNOR_ID,S_CONSIGNOR_NAME,S_TRANSPORTER_ID,S_TRANSPORTER_NAME,C_TRIP_CLOSE_REASON,C_IS_DELETED,I_ORIGIN_LOC_CODE,S_GOODS_DESC,I_QTY,S_UOM_CODE,S_DESTINATION_LOC_NAME,DT_EXP_ARR_DATETIME,S_CONSIGNEE_ID,S_CONSIGNEE_NAME,S_CONSIGNEE_CITY,C_STATUS,S_ORIGIN_LOC_NAME,S_SUPP_PRODUCT_ID,DT_CREATED,S_INVOICE,DT_ATA,DT_OFFLOAD,DT_ATA_OUT 
758705,-,HR38L4029,175256,01-Jan-2013 05:38:00,,112,TATA STEEL,241,FRONTLINE ASSOCIATES,S,N,,-,0,-,GHAZIABAD,07-Jan-2013 00:00:00,-,VIKRANT IRON PRIVATE LIMITED,,O,JAMSHEDPUR,1230040000000014765,02-Jan-2013 06:53:36,,09-Jan-2013 09:45:00,20-Feb-2013 01:09:25, 
758345, ,AP29TA6400,,01-Jan-2013 19:10:00,,,HY 65TPD - HYDERABAD 65 TPD,316,BOC-HYDERABAD-BULK,S,,,,,,HYDERABAD,04-Jan-2013 00:00:00,,SRI SUDARSHAN GASES PVT. LTD.,,,HY 65TPD - HYDERABAD 65 TPD,,01-Jan-2013 23:35:17,,02-Jan-2013 08:44:00,02-Jan-2013 09:00:02, 
759006, ,MH04CP4381,,01-Jan-2013 22:06:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,AHMEDABAD,04-Jan-2013 00:00:00,,BOC(I) LTDA_C-AHMEDABAD BRANCH,,,NEW TALOJA - BOC INDIA LIMITE,,02-Jan-2013 16:35:20,,03-Jan-2013 14:41:00,03-Jan-2013 15:00:06, 
759007, ,MH04FD6479,,01-Jan-2013 21:58:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,RAIGAD,04-Jan-2013 00:00:00,,GALAXY SURFACTANTS LTD,,,NEW TALOJA - BOC INDIA LIMITE,,02-Jan-2013 16:35:20,,,02-Jan-2013 16:35:21, 
759009, ,MH04FD6479,,01-Jan-2013 21:58:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,DOMBIVALI,04-Jan-2013 00:00:00,,AUCHTEL PRODUCTS LTD.,,,NEW TALOJA - BOC INDIA LIMITE,,02-Jan-2013 16:35:21,,,02-Jan-2013 23:35:14, 
759010, ,MH46F3134,,01-Jan-2013 21:56:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,PUTHOLI,04-Jan-2013 00:00:00,,HINDUSTAN ZINC LIMITED-HYDRO,,,NEW TALOJA - BOC INDIA LIMITE,,02-Jan-2013 16:35:21,,,02-Jan-2013 16:35:22, 
759011, ,MH46F3134,,01-Jan-2013 21:56:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,A,,,,,,PUTHOLI,04-Jan-2013 00:00:00,,HINDUSTAN ZINC LIMITED-PYRO,,,NEW TALOJA - BOC INDIA LIMITE,,02-Jan-2013 16:35:21,,,12-Jan-2013 00:00:13, 
761925,-,HR38Q7364,217474,01-Jan-2013 01:57:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,04-Jan-2013 00:00:00,-,SANJEEV INDUSTRIAL CORPORATION,,O,JAMSHEDPUR,1230040000000003396,05-Jan-2013 16:07:53,,07-Jan-2013 12:15:00,20-Feb-2013 01:12:38, 
761980,-,HR38R1763,249575,01-Jan-2013 05:06:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,05-Jan-2013 00:00:00,-,TATA RYERSON LTD.,,O,JAMSHEDPUR,1230040000000000996,05-Jan-2013 16:11:13,,04-Jan-2013 10:34:00,20-Feb-2013 01:14:23, 
762039,-,HR38Q5504,189903,01-Jan-2013 02:03:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,04-Jan-2013 00:00:00,-,SANJEEV INDUSTRIAL CORPORATION,,O,JAMSHEDPUR,1230040000000005789,05-Jan-2013 16:14:44,,04-Jan-2013 09:05:00,20-Feb-2013 01:11:05, 
